income,family_size,utility_bills_paid,loan_defaults,credit_history_years,suspicious_transactions,is_eligible,trust_score
90170,6,0,0,11,5,0,39.534
92623,4,1,0,18,0,0,100.0
77392,8,1,0,5,0,0,95.9784
78781,9,0,0,15,5,0,35.2562
28359,6,0,0,18,2,0,57.6718
98346,8,1,0,12,1,0,100.0
79259,5,1,0,7,4,0,59.3518
73364,3,1,0,19,0,0,100.0
96997,2,0,0,16,3,0,60.3994
45509,4,0,0,0,5,0,11.1018
35663,6,0,0,12,4,0,40.1326
70783,7,1,1,4,2,0,37.1566
32564,5,1,0,13,2,1,78.0128
31892,3,1,1,6,1,1,45.3784
30691,6,1,0,16,2,1,75.1382
99450,1,0,0,3,1,0,59.39
89352,1,0,0,12,2,0,60.870400000000004
94459,10,1,0,5,1,0,91.3918
85300,3,0,0,3,5,0,18.56
98606,6,0,1,5,4,0,4.2212
78340,1,0,0,9,2,0,55.168
65751,3,0,0,15,1,0,79.6502
40349,10,1,1,17,3,1,45.5698
35254,9,0,0,7,2,0,44.5508
51385,8,0,1,1,2,0,6.776999999999999
82970,10,0,0,20,2,0,79.594
93793,10,1,0,9,2,0,79.2586
78707,4,1,1,12,3,0,44.7414
30798,8,0,1,3,2,0,13.659600000000001
83452,10,1,0,15,2,0,94.1904
27224,9,0,0,2,2,0,42.4448
94878,9,0,0,1,4,0,25.4756
26187,5,1,0,11,4,1,46.7374
76859,9,0,0,1,1,0,52.8718
79930,3,0,0,2,5,0,16.986
84916,4,0,0,12,1,0,70.9832
58068,1,0,0,5,3,0,37.1136
68730,7,0,0,4,4,0,27.746000000000002
53840,7,1,0,20,5,1,59.768
73635,1,1,1,12,2,0,50.727000000000004
83991,5,0,1,1,5,0,2.0
36893,4,0,0,3,1,0,53.8786
28716,3,1,0,8,5,1,38.7432
57330,9,1,0,18,2,1,84.466
35650,7,0,0,17,3,0,50.63
36661,9,0,1,15,0,0,45.8322
49968,1,1,0,2,5,1,28.9936
51686,7,1,1,4,3,1,30.3372
25380,9,0,0,10,0,0,74.076
21862,3,1,0,5,2,1,63.8724
46299,1,1,1,4,2,1,38.2598
28342,4,0,0,10,5,0,22.6684
23317,8,0,0,19,4,0,42.1634
92987,3,0,0,1,0,0,75.0974
28536,7,0,0,10,2,0,45.7072
38807,2,0,0,12,0,0,79.7614
27656,7,0,0,20,0,0,89.5312
91510,2,0,1,18,5,0,16.302
57023,10,1,1,7,5,1,13.9046
52773,6,1,1,4,3,1,29.5546
67203,4,0,0,20,5,0,40.4406
70915,5,0,0,0,3,0,33.183
38872,1,1,1,17,1,1,64.2744
36387,6,0,1,13,3,0,18.7774
79285,8,1,1,11,2,0,52.357
72282,3,0,0,6,5,0,21.456400000000002
94499,4,1,1,17,3,0,54.3998
60225,4,1,0,15,0,1,100.0
79286,5,1,0,6,1,0,84.8572
92311,3,1,1,5,3,0,30.962199999999996
47060,7,0,0,18,1,0,81.412
72674,10,0,0,13,2,0,66.0348
52204,3,1,0,19,4,0,71.9408
24627,2,0,0,0,0,0,49.925399999999996
63451,2,1,0,6,5,0,38.690200000000004
47919,5,0,0,19,2,0,72.0838
78538,8,1,0,9,2,0,75.2076
93647,3,0,0,13,0,0,91.2294
73697,3,1,0,7,0,0,100.0
39221,8,0,0,4,3,0,35.8442
69724,8,0,0,18,5,0,40.9448
77794,10,0,1,0,3,0,10.5588
94289,6,1,0,11,0,0,97.0
37687,10,1,1,4,0,1,58.5374
45838,6,1,0,11,4,1,57.6676
22091,10,1,0,11,2,1,68.9182
87295,5,0,1,10,1,0,37.459
51300,5,1,1,13,2,1,44.76
55761,8,0,0,17,0,0,83.6522
21399,10,0,0,12,1,0,64.2798
69809,7,0,0,12,2,0,61.9618
87185,7,1,0,4,2,0,72.437
92401,4,1,0,8,0,0,100.0
31114,6,0,0,4,0,0,60.2228
29753,3,1,0,4,4,1,39.9506
31453,2,0,0,10,4,0,27.2906
40479,10,1,0,3,4,1,38.5958
27361,3,0,0,5,0,0,58.9722
20503,7,0,0,1,5,0,1.6006
70711,6,0,1,6,5,0,2.0
99358,3,1,0,18,0,0,100.0
44238,9,0,0,5,1,0,55.3476
38860,9,0,0,2,1,0,47.772
62127,4,0,1,20,4,0,21.4254
98846,7,1,0,13,2,0,89.2692
51558,9,0,0,9,1,0,59.8116
28076,2,1,0,1,4,1,38.1152
30479,8,0,0,10,4,0,31.0958
99364,2,1,0,14,2,0,92.8728
68554,8,1,1,10,4,1,26.7108
49899,10,0,0,11,3,0,48.4798
80508,6,1,1,14,3,0,44.101600000000005
38623,7,1,0,4,2,1,64.72460000000001
39580,7,1,0,13,5,1,44.416
39796,10,0,0,3,0,0,63.4592
81903,3,1,0,6,0,0,97.3806
71410,3,1,0,7,1,0,86.782
99537,8,1,1,5,3,0,42.407399999999996
27832,6,0,0,10,5,0,22.5664
99667,5,0,0,16,3,0,61.9334
74571,8,0,0,20,1,0,84.9142
60712,10,1,0,19,1,1,100.0
56948,6,1,0,11,4,1,59.8896
28273,1,1,0,13,1,1,83.1546
62755,4,1,1,8,4,1,24.551000000000002
95657,6,0,0,10,5,0,38.1314
50005,10,0,0,15,4,0,44.501
22542,6,0,1,4,4,0,0.0
30657,9,1,1,19,5,1,23.6314
28772,8,1,0,8,5,1,34.754400000000004
67681,1,1,0,7,5,0,39.0362
62888,6,1,0,8,2,1,76.5776
61178,10,0,0,19,4,0,46.7356
58747,1,0,0,7,3,0,43.2494
21430,5,1,0,4,2,1,55.286
23777,7,0,0,14,1,0,67.7554
70072,9,0,1,10,0,0,48.0144
79761,5,0,1,9,1,0,43.4522
36847,6,0,0,1,2,0,41.8694
82534,6,0,0,12,4,0,39.5068
76919,6,1,0,10,4,0,55.3838
57081,6,0,0,4,3,0,33.4162
28899,3,0,0,16,1,0,67.7798
32040,6,1,0,2,3,1,49.408
29119,8,1,0,16,3,1,74.8238
71903,3,0,0,14,1,0,71.3806
54177,4,0,0,20,5,0,43.8354
23175,1,0,1,1,0,0,24.134999999999998
50495,3,0,0,10,3,0,50.099000000000004
71879,1,1,1,0,5,0,5.3758
92093,2,0,0,18,0,0,93.4186
50081,10,1,0,11,5,1,42.5162
96229,6,0,1,6,1,0,41.2458
20963,10,1,0,17,2,1,82.6926
70910,3,0,0,10,1,0,69.182
54123,7,0,0,14,0,0,83.8246
99084,9,1,0,5,0,0,92.3168
70784,2,0,0,18,5,0,40.156800000000004
48094,10,1,0,14,0,1,100.0
50121,10,1,0,16,0,1,99.0
21620,4,0,0,6,3,0,34.324
62907,8,1,0,15,3,1,78.0814
98215,5,0,0,19,0,0,93.143
24089,10,0,0,8,0,0,65.8178
78334,7,0,0,1,2,0,45.1668
45006,7,1,0,8,3,1,66.0012
22935,5,0,0,9,1,0,57.087
79890,4,0,0,15,1,0,73.478
34756,2,0,1,18,5,0,6.9512
55800,5,0,1,2,5,0,0.0
48242,2,1,1,0,0,1,51.6484
76687,8,1,0,0,4,0,40.3374
28258,5,1,1,6,2,1,29.651600000000002
55646,4,0,1,0,5,0,0.0
93821,7,1,0,1,2,0,70.2642
31588,10,1,1,15,4,1,25.8176
68924,6,0,0,20,2,0,74.7848
42801,10,1,0,14,2,1,78.5602
39350,8,1,0,13,0,1,100.0
53187,3,1,0,20,3,0,82.6374
90675,3,0,0,16,5,0,39.135000000000005
98484,6,0,0,6,5,0,29.6968
30714,7,0,0,16,0,0,84.1428
20529,5,0,0,10,3,0,35.1058
62662,6,1,1,7,4,1,23.032400000000003
73477,2,0,1,4,5,0,0.0
20078,9,0,1,4,0,0,29.0156
51697,7,1,0,17,5,1,51.8394
45035,1,0,0,9,0,0,70.507
44341,2,0,0,14,0,0,80.8682
66860,7,0,0,10,3,0,48.372
47321,5,1,1,20,4,1,43.4642
25488,8,0,1,10,2,0,15.0976
53525,8,1,0,13,5,1,54.205
66013,8,0,1,1,3,0,0.7026000000000003
82242,5,0,0,7,5,0,31.9484
32321,8,1,0,7,4,1,48.9642
24501,6,1,1,6,4,1,14.9002
32445,1,0,0,16,3,0,46.489
85807,3,1,0,18,3,0,87.1614
26385,5,0,1,5,3,0,1.7770000000000001
41331,1,1,0,13,0,1,100.0
40289,2,0,1,15,1,0,35.5578
70764,3,1,0,9,1,0,85.6528
64573,10,1,0,14,5,1,49.9146
33308,3,0,0,19,4,0,40.1616
77422,8,1,1,0,5,0,8.4844
68272,9,0,1,15,0,0,55.1544
77185,9,1,0,2,0,0,87.437
66876,8,1,0,4,0,1,84.3752
41233,2,0,0,14,5,0,32.2466
68931,9,1,1,2,5,1,3.786199999999999
96299,7,0,0,7,1,0,66.7598
59366,3,1,0,11,0,0,100.0
21594,2,1,0,9,1,1,77.8188
51939,8,0,0,15,3,0,54.8878
48065,2,0,1,17,5,0,10.113
90962,2,0,0,16,1,0,78.19239999999999
82611,9,0,0,7,5,0,28.0222
67411,4,1,1,1,3,1,19.9822
62006,7,0,0,11,3,0,50.9012
99486,4,0,1,19,4,0,29.3972
40615,4,1,1,2,3,1,25.122999999999998
24051,7,0,0,4,5,0,5.8102
68433,5,1,0,14,5,1,54.6866
59779,9,1,0,15,4,1,66.4558
70606,10,0,1,10,0,0,51.1212
64880,9,0,0,20,2,0,71.976
57872,10,0,0,10,1,0,70.5744
45069,6,1,0,10,4,1,59.0138
73941,5,1,1,6,4,0,20.7882
58668,4,1,0,6,3,1,64.7336
88172,3,0,0,20,1,0,85.6344
98398,6,0,1,11,1,0,47.1796
83483,5,1,0,4,2,0,76.6966
29443,5,0,1,17,3,0,16.3886
28722,4,1,1,14,4,1,30.7444
56318,9,1,0,8,0,1,94.2636
84167,10,0,1,13,3,0,26.3334
35655,3,0,0,11,0,0,68.631
29211,5,0,0,4,0,0,66.84219999999999
75478,4,0,0,0,0,0,65.0956
56329,5,1,0,7,1,1,85.7658
99123,10,1,0,7,1,0,85.3246
92575,10,1,0,5,3,0,64.015
91003,10,0,0,2,4,0,35.2006
55353,8,0,0,7,3,0,39.5706
51722,8,0,0,7,2,0,46.8444
20415,4,1,1,18,4,1,32.083
78479,4,0,0,2,3,0,40.6958
78002,3,1,1,0,4,0,14.6004
46886,8,1,0,10,0,1,96.3772
86526,10,1,1,19,1,0,75.8052
38941,2,1,0,12,1,1,83.7882
61184,6,1,0,7,5,1,41.7368
50263,7,1,0,18,1,1,100.0
28479,8,0,1,18,2,0,32.6958
69934,1,1,1,14,3,0,40.9868
77325,5,1,0,8,2,0,76.465
82721,3,0,0,18,5,0,46.544200000000004
98525,9,0,0,12,2,0,62.705
49960,2,0,0,19,5,0,41.492000000000004
26562,5,0,0,14,1,0,65.3124
38564,7,1,0,7,3,1,57.2128
41840,9,0,0,2,4,0,16.368000000000002
95053,3,1,1,13,1,0,66.5106
22252,4,0,0,3,2,0,35.9504
89986,2,1,0,5,1,0,88.49719999999999
44485,4,0,0,5,2,0,49.397
22715,9,0,1,4,1,0,15.543
81481,3,0,0,19,2,0,78.7962
56605,8,0,1,5,5,0,0.0
52534,3,0,0,12,1,0,63.5068
57644,8,1,1,17,4,1,38.028800000000004
88819,8,1,1,8,4,0,30.7638
41875,9,1,0,1,1,1,65.875
98616,6,1,0,19,3,0,89.22319999999999
69275,5,1,0,10,3,1,66.855
22102,4,1,0,14,4,1,52.4204
59580,7,0,0,0,1,0,53.916
53150,8,1,1,14,2,1,49.63
80725,3,1,0,7,1,0,91.645
33275,5,1,0,11,3,1,64.155
76804,2,1,0,16,4,0,71.3608
25311,8,0,0,10,1,0,59.0622
86416,3,0,0,4,5,0,26.2832
55338,1,0,0,20,4,0,51.0676
23164,8,1,0,19,3,1,73.1328
62800,5,1,0,16,4,1,62.56
77461,8,1,0,17,5,0,64.9922
86315,2,0,1,10,5,0,4.263000000000002
55010,3,0,0,2,4,0,25.002000000000002
56144,7,0,0,1,2,0,37.7288
37424,4,1,0,13,1,1,87.9848
91703,10,1,0,0,0,0,85.3406
24910,5,1,0,7,3,1,52.482
84681,2,0,1,10,4,0,11.9362
81463,5,1,0,16,1,0,100.0
97303,9,1,0,7,0,0,100.0
83359,5,1,0,15,5,0,60.171800000000005
26722,10,1,0,3,1,1,72.84440000000001
49311,4,0,1,4,0,0,38.8622
86301,6,1,1,13,4,0,36.7602
59201,2,0,0,19,3,0,65.3402
28692,6,0,1,12,3,0,10.7384
74293,8,0,0,11,0,0,80.3586
50891,8,1,1,18,1,1,68.1782
76374,4,1,0,19,1,0,100.0
40865,10,1,1,2,0,1,47.173
30788,1,0,1,15,0,0,53.6576
39908,1,0,1,5,0,0,32.4816
58197,6,1,0,1,1,1,72.1394
63272,2,0,0,1,4,0,19.154400000000003
45198,3,1,1,3,2,1,37.5396
58198,10,0,0,4,0,0,69.6396
99451,5,0,0,15,4,0,50.3902
57184,1,1,0,5,5,0,40.9368
79311,6,1,0,20,5,0,66.8622
74784,4,1,0,6,1,0,85.9568
39493,3,0,0,1,4,0,15.398600000000002
39356,2,1,0,4,5,1,29.8712
57024,6,1,0,15,3,1,74.9048
36071,9,1,0,15,5,1,44.7142
67737,3,1,0,11,0,0,95.0
24112,5,1,0,15,3,1,72.3224
72099,6,1,0,10,5,0,50.4198
61259,10,0,0,5,2,0,50.7518
32218,8,1,0,1,1,1,65.9436
87211,10,1,0,6,5,0,43.4422
74771,1,0,0,10,4,0,39.9542
64194,1,0,1,16,1,0,44.8388
39373,6,1,1,16,4,1,35.8746
45776,7,0,1,18,4,0,15.1552
90620,8,0,0,10,0,0,84.124
97243,2,1,1,14,4,0,44.4486
50270,6,0,1,8,2,0,27.054000000000002
25073,4,1,1,8,0,1,60.0146
50044,1,0,1,7,3,0,5.508800000000001
76362,1,0,0,17,4,0,51.7724
22142,9,1,0,15,4,1,54.928399999999996
90004,9,1,0,7,3,0,71.5008
63068,3,0,0,13,0,0,82.1136
52190,8,0,0,4,5,0,15.438000000000002
42154,5,1,1,5,3,1,23.930799999999998
41483,6,0,0,9,4,0,34.7966
28990,2,0,0,0,1,0,41.798
55396,3,0,1,10,0,0,49.0792
90070,8,0,1,19,2,0,42.513999999999996
66695,2,1,0,12,1,0,94.339
52804,1,0,0,5,1,0,58.0608
41016,9,0,1,20,2,0,33.2032
64588,7,1,0,16,3,1,74.9176
41957,4,1,0,7,5,1,40.891400000000004
93067,8,1,0,20,2,0,96.6134
25500,1,1,0,0,4,1,35.1
22244,6,1,1,0,2,1,26.4488
31170,3,0,0,18,1,0,75.234
84794,9,1,0,19,0,0,100.0
61558,4,1,1,9,0,1,61.8116
27197,5,0,0,12,1,0,62.4394
64556,7,0,0,2,3,0,34.9112
59298,7,0,0,9,2,0,52.3596
32199,3,0,0,3,0,0,59.9398
63749,6,0,0,18,1,0,83.7498
30333,4,0,0,9,4,0,32.5666
30441,9,1,0,3,3,1,45.5882
60880,7,0,0,8,5,0,19.176000000000002
37942,2,0,0,3,3,0,27.0884
81502,6,1,0,8,1,0,92.3004
93556,4,0,0,5,1,0,71.2112
94581,2,0,1,6,5,0,0.0
42199,9,0,1,0,5,0,3.0
55823,10,0,1,17,1,0,41.6646
76324,4,1,0,16,2,0,89.2648
37853,7,1,0,8,1,1,83.5706
36337,7,1,1,0,0,1,48.2674
97429,4,1,0,18,1,0,100.0
96048,2,0,0,1,1,0,58.709599999999995
26103,2,1,0,6,2,1,60.220600000000005
95310,1,0,0,0,3,0,35.062
64742,4,1,0,4,5,1,43.9484
36153,6,1,1,12,5,1,18.2306
56053,8,0,0,6,3,0,40.2106
44641,4,1,1,8,3,1,25.9282
53044,1,1,1,5,0,0,53.1088
80128,9,1,0,13,0,0,99.0
38441,5,1,0,13,0,1,99.1882
89414,2,1,0,9,5,0,49.3828
78896,4,1,1,12,2,0,50.7792
82960,4,1,0,0,1,0,81.592
83688,7,0,0,3,2,0,51.2376
88423,5,0,0,16,2,0,72.6846
22660,2,0,0,9,2,0,46.032
92870,10,0,1,16,0,0,59.574
22565,6,1,0,0,3,1,42.513
44559,2,1,1,8,5,1,9.9118
96833,4,1,0,3,3,0,65.8666
45725,4,1,0,10,2,1,76.145
51610,9,1,1,7,3,1,33.822
22153,2,0,0,7,3,0,29.9306
46864,8,1,0,3,5,1,36.8728
77839,3,0,0,6,2,0,50.5678
24799,5,0,1,3,2,0,14.459800000000001
97152,8,0,0,10,1,0,78.43039999999999
35568,2,1,0,1,3,1,47.6136
90919,3,0,1,6,3,0,17.1838
33119,2,0,0,0,3,0,26.6238
66779,8,0,0,3,5,0,21.855800000000002
22799,5,0,0,5,1,0,47.0598
43513,4,0,0,4,2,0,46.702600000000004
28031,8,0,0,1,0,0,55.1062
68056,5,1,0,2,1,1,78.6112
69556,1,0,0,1,4,0,22.4112
75096,2,0,0,6,0,0,71.0192
74401,2,1,0,5,2,0,75.3802
92744,9,1,1,5,4,0,29.0488
94356,4,1,1,5,4,0,28.3712
56592,6,1,0,0,1,1,72.3184
58736,7,1,0,18,0,1,97.0
27050,4,0,1,12,5,0,4.0
37723,1,0,0,4,1,0,48.5446
86639,10,0,0,17,4,0,48.827799999999996
64448,9,0,0,8,2,0,57.8896
37849,3,0,1,15,1,0,37.0698
48902,2,0,1,2,3,0,7.7804
91660,2,1,1,5,5,0,14.832
64260,1,0,0,0,5,0,7.852
23977,2,1,0,20,4,1,60.7954
30830,4,1,0,14,4,1,62.166
68698,1,0,0,11,2,0,61.239599999999996
35093,9,1,0,8,1,1,75.0186
91535,3,1,0,15,4,0,66.807
39736,3,1,0,10,3,1,64.94720000000001
25293,9,1,1,0,0,1,49.0586
26403,1,1,0,12,2,1,78.28059999999999
64759,2,1,0,16,1,0,97.9518
69508,10,0,0,13,1,0,72.4016
87067,4,1,0,1,2,0,67.9134
42313,10,1,0,17,5,1,48.9626
81573,1,1,0,7,3,0,70.8146
93172,8,1,0,19,5,0,70.1344
44217,3,0,0,8,0,0,66.8434
71337,5,0,0,8,5,0,25.267400000000002
43258,9,1,1,7,4,1,17.151600000000002
69556,4,0,1,8,1,0,32.9112
28589,3,1,0,5,4,1,47.2178
60304,7,1,0,0,1,1,73.0608
37106,6,1,0,3,2,1,60.9212
30769,8,0,1,9,5,0,1.0
40535,6,1,0,1,1,1,70.607
50025,6,1,0,9,1,1,78.505
31089,8,1,0,13,2,1,74.7178
87237,10,0,0,3,2,0,49.9474
92887,9,0,0,10,5,0,30.577399999999997
81037,10,0,0,1,2,0,52.7074
27539,5,0,0,6,1,0,54.5078
45471,9,1,0,3,3,1,51.5942
38535,2,0,0,19,3,0,59.207
81138,2,0,0,7,4,0,32.727599999999995
45950,8,0,0,12,5,0,27.189999999999998
49585,1,1,0,2,0,1,86.917
86176,8,1,1,3,3,0,34.7352
73372,9,0,0,5,1,0,57.1744
23853,10,0,0,13,0,0,77.2706
36765,10,0,0,12,2,0,57.353
85188,5,1,0,13,0,0,100.0
48010,7,1,0,4,0,1,81.602
60793,10,0,0,16,5,0,40.1586
57596,2,1,0,7,3,0,65.0192
82566,6,0,0,13,1,0,73.0132
40667,4,0,0,7,3,0,37.6334
63934,6,1,0,2,2,1,60.7868
58528,3,1,0,11,5,0,43.205600000000004
64235,4,1,1,13,3,1,37.347
88070,2,0,0,13,0,0,82.114
45288,1,0,0,12,3,0,51.0576
31584,1,1,0,14,0,1,97.3168
47899,2,0,0,8,2,0,51.5798
26822,7,0,1,18,0,0,54.3644
83605,7,0,0,16,2,0,69.721
25287,2,0,0,17,0,0,83.5574
78645,4,1,0,7,3,0,71.229
92127,9,0,1,1,1,0,27.9254
69060,10,0,0,3,5,0,18.311999999999998
79183,1,0,0,18,4,0,48.836600000000004
57925,5,0,0,14,2,0,66.58500000000001
41705,7,1,1,9,4,1,26.841
99254,10,1,0,16,2,0,90.85079999999999
90158,6,1,0,4,2,0,78.0316
33493,5,0,0,18,4,0,41.6986
42953,4,0,0,7,2,0,46.0906
76344,7,0,1,19,5,0,8.7688
93126,8,0,1,20,0,0,70.6252
74749,1,1,0,6,2,0,76.9498
49898,9,0,0,19,2,0,73.4796
51976,9,0,0,9,0,0,73.8952
73408,2,0,1,10,0,0,52.6816
39299,7,1,0,13,5,1,46.3598
32254,9,1,1,11,3,1,37.9508
29542,4,0,1,13,0,0,50.4084
39099,4,1,0,3,2,1,60.3198
55002,7,0,0,18,2,0,71.0004
55638,1,0,0,15,1,0,68.6276
20853,9,1,1,12,0,1,57.1706
35307,7,0,0,2,5,0,8.061399999999999
63888,1,0,0,12,4,0,35.7776
56601,2,1,0,10,0,0,98.3202
73449,3,0,1,20,3,0,39.6898
38828,1,1,0,20,2,1,86.7656
22204,8,1,1,19,2,1,53.9408
41274,1,1,0,12,3,1,71.2548
37043,10,0,0,0,4,0,13.4086
84499,8,1,0,5,4,0,58.3998
28754,5,0,1,16,5,0,3.0
54445,2,0,0,6,3,0,37.888999999999996
31689,3,1,0,5,1,1,73.8378
72600,2,1,0,14,0,0,98.0
41531,2,0,0,0,3,0,24.3062
48687,7,0,0,4,3,0,37.7374
91580,10,1,1,3,1,0,50.816
78653,2,1,0,8,4,0,52.7306
42111,10,1,0,4,3,1,53.422200000000004
86881,1,0,1,8,2,0,24.3762
50999,8,0,0,3,3,0,36.699799999999996
90016,2,0,1,15,5,0,13.5032
42323,3,0,0,5,5,0,11.9646
84431,10,0,0,20,1,0,85.8862
88082,7,0,0,15,5,0,45.1164
99494,8,0,1,7,4,0,8.398800000000001
35071,9,0,0,13,0,0,76.5142
50003,10,1,0,15,5,1,56.5006
91381,7,1,0,14,3,0,74.2762
72777,8,0,1,16,1,0,43.5554
67852,1,1,0,2,5,0,33.5704
43651,4,1,0,5,0,1,87.2302
67977,1,1,1,3,5,0,7.0954
73075,10,0,0,16,5,0,35.615
29535,10,0,0,18,3,0,54.907
97879,1,1,0,13,4,0,73.0758
91022,5,0,0,4,0,0,74.20439999999999
24444,10,0,1,19,5,0,2.3888
86500,5,0,0,19,2,0,79.8
87135,9,0,0,9,2,0,62.927
91524,9,1,0,20,3,0,84.3048
66784,3,0,1,14,3,0,26.3568
45688,9,0,0,19,3,0,56.6376
69866,2,0,1,15,4,0,19.4732
84549,7,0,1,16,3,0,27.9098
36972,6,0,1,1,5,0,3.0
61714,9,0,1,20,1,0,57.3428
51127,6,0,0,0,5,0,10.2254
71138,7,1,1,18,0,0,76.2276
36361,3,1,0,10,2,1,71.2722
52926,3,1,1,18,3,0,45.5852
38396,6,1,0,20,1,1,100.0
37445,9,1,1,7,1,1,50.989
95051,2,1,1,5,2,0,42.5102
62975,3,1,1,5,2,0,41.095
41978,10,0,1,18,1,0,43.3956
65000,9,1,0,7,4,1,49.5
93391,7,1,0,0,5,0,40.678200000000004
88017,5,1,0,0,4,0,47.6034
83932,5,1,0,0,1,0,75.7864
35725,9,0,0,15,4,0,41.644999999999996
41602,1,0,0,18,1,0,74.3204
24940,2,1,0,12,2,1,68.988
62630,5,1,0,10,2,1,75.526
34053,4,0,0,19,1,0,76.3106
82371,9,0,0,13,3,0,55.974199999999996
26002,1,1,0,20,0,1,99.0
31421,1,1,0,14,3,1,71.2842
89364,2,1,0,19,5,0,63.3728
82654,1,1,0,4,1,0,85.5308
89046,9,1,1,5,1,0,55.309200000000004
93060,7,1,0,10,4,0,66.612
74462,8,1,0,9,1,0,85.3924
84580,6,1,0,17,5,0,62.416
97112,7,1,0,19,2,0,94.9224
85802,3,1,0,2,5,0,41.160399999999996
63554,1,0,0,1,0,0,61.210800000000006
60218,6,0,0,2,1,0,52.0436
35169,6,1,0,6,0,1,86.0338
64555,8,0,0,20,5,0,43.911
92816,3,0,0,9,2,0,65.0632
88785,10,1,1,18,4,0,46.757000000000005
38883,8,0,1,14,5,0,2.0
58360,7,0,0,4,2,0,50.672
41981,6,1,0,2,4,1,39.3962
42658,9,0,0,6,0,0,64.5316
46238,10,0,0,20,2,0,73.2476
32137,1,1,0,2,4,1,37.4274
74443,5,1,0,6,5,0,46.8886
80710,6,0,0,15,3,0,61.641999999999996
31415,8,0,0,11,3,0,44.783
62054,5,1,0,15,1,1,95.9108
40284,10,0,0,4,4,0,20.056800000000003
86968,8,1,0,3,3,0,56.8936
92007,3,1,0,20,3,0,85.4014
28299,8,0,0,14,5,0,24.6598
93988,10,0,0,10,1,0,70.7976
40341,10,0,1,5,0,0,36.5682
62854,10,0,0,7,4,0,36.0708
38857,4,0,0,20,2,0,65.7714
95707,9,0,0,17,2,0,73.6414
74771,2,1,1,15,1,0,64.4542
71522,5,0,0,18,2,0,70.3044
53278,10,1,0,5,3,1,62.1556
96318,8,0,0,18,1,0,88.2636
29159,3,0,0,7,5,0,20.3318
81408,9,1,0,6,3,0,65.2816
38124,10,0,0,4,0,0,68.6248
32917,3,1,1,1,4,1,6.083400000000001
42710,1,0,0,17,3,0,58.042
81027,9,1,0,6,5,0,45.2054
87414,6,0,0,20,4,0,58.4828
27979,1,0,0,8,2,0,45.5958
70836,2,1,0,14,0,0,100.0
41365,4,0,0,4,5,0,18.273
41951,10,1,0,2,2,1,59.3902
82648,5,0,0,19,1,0,80.0296
95569,7,1,0,6,5,0,52.1138
85518,2,0,0,12,0,0,90.1036
39782,3,0,0,5,0,0,70.4564
80338,7,1,0,1,0,0,91.5676
31696,2,0,1,12,0,0,41.3392
43685,1,0,0,14,1,0,69.737
89357,8,0,0,19,5,0,44.3714
24852,5,0,1,12,2,0,20.970399999999998
90274,1,0,1,20,5,0,17.0548
88287,2,0,0,5,0,0,71.1574
57283,1,1,0,10,0,0,100.0
62813,3,0,0,12,1,0,65.5626
97516,4,1,0,12,0,0,100.0
20162,4,1,0,18,3,1,66.0324
32736,4,1,0,4,2,1,60.547200000000004
75556,6,1,0,12,2,0,80.1112
47788,1,1,0,4,0,1,82.55760000000001
83157,1,1,0,11,4,0,60.1314
82824,4,1,0,1,1,0,82.0648
28063,8,0,1,13,4,0,0.11259999999999959
74046,4,0,0,9,4,0,43.309200000000004
34029,6,1,0,5,5,1,39.3058
20993,4,1,0,7,0,1,80.6986
22209,10,1,1,15,4,1,31.9418
79175,6,1,0,19,0,0,100.0
78040,10,1,0,9,3,0,66.108
52256,5,1,0,4,2,1,68.4512
76909,1,0,0,17,0,0,86.8818
87394,2,0,0,0,5,0,18.4788
92593,4,0,1,12,2,0,32.5186
84092,3,1,0,17,0,0,100.0
32770,6,1,0,4,4,1,37.554
34179,6,0,1,2,1,0,22.8358
25564,7,1,0,7,0,1,87.6128
50040,6,0,0,9,2,0,56.507999999999996
56116,8,1,0,12,1,1,85.2232
45762,1,0,1,5,2,0,19.6524
89222,6,1,1,13,4,0,36.3444
85034,1,0,0,17,0,0,92.5068
46078,4,1,0,14,2,1,81.2156
71593,7,0,0,11,4,0,36.8186
88762,4,0,1,0,0,0,32.7524
54865,7,1,1,3,2,1,35.473
97242,1,0,0,1,3,0,44.9484
83655,8,0,0,1,0,0,73.231
54431,10,0,0,18,5,0,42.8862
55331,10,0,0,7,5,0,17.566200000000002
61506,3,0,0,19,4,0,53.8012
24967,10,1,1,12,4,1,25.9934
84595,4,0,0,14,4,0,49.919
35765,7,1,0,3,3,1,52.653
33051,3,0,1,9,0,0,42.1102
82900,10,1,0,7,1,0,87.08
77264,3,0,0,18,4,0,48.452799999999996
78467,1,0,0,5,3,0,48.1934
38293,1,0,1,1,4,0,2.0
90851,3,0,0,13,0,0,84.6702
23595,5,0,0,7,2,0,50.219
94915,9,1,0,3,0,0,95.483
22937,9,1,0,2,4,1,38.5874
54083,5,0,0,3,3,0,35.3166
88412,9,0,1,16,2,0,43.6824
21511,9,0,0,0,2,0,37.3022
26137,7,1,0,15,5,1,43.7274
43570,4,1,0,9,4,1,53.214
31993,2,0,1,18,2,0,30.398600000000002
98630,7,0,1,12,4,0,22.726
82539,1,1,0,18,2,0,91.5078
35455,5,0,1,3,2,0,12.591000000000001
25769,8,0,0,15,2,0,62.653800000000004
92510,9,0,0,12,2,0,62.501999999999995
